128:3460	8476	ok
128:3923	6896	ok
128:3774	19157	ok
128:3393	9720	ok
128:3867	54024	ok
128:3555	27970	ok
128:3946	23663	ok
128:4402	26914	ok
128:3492	11990	ok
128:5778	28469	ok
128:3723	8055	ok
128:4291	20323	ok
128:4959	9811	ok
128:4099	26614	ok
128:6084	9609	ok
128:4513	8131	ok
128:4658	16871	ok
128:5046	7206	ok
128:4254	7985	ok
128:4544	13314	ok
128:5008	29938	ok
128:5068	31703	ok
128:4461	5469	ok
128:4923	6736	ok
128:5872	8078	ok
128:5964	6926	ok
128:4479	8265	ok
128:4949	4603	ok
128:5905	2356	ok
128:4832	6846	ok
128:5326	14500	ok
128:4855	6527	ok
128:5393	33051	ok
128:6371	11359	ok
128:6488	6358	ok
135:4658	14819	ok
128:6184	9550	ok
135:1579	94974	ok
128:6413	11207	ok
128:6506	10370	ok
135:5320	36674	ok
128:6219	7415	ok
135:5401	39682	ok
128:6785	8204	ok
128:6623	17399	ok
142:1164	15621	ok
128:6252	10089	ok
141:888	10501	ok
128:6812	15541	ok
128:6889	17780	ok
142:1240	7787	ok
128:6303	7550	ok
135:1237	10400	ok
135:1531	13390	ok
146:942	18085	ok
128:6333	5333	ok
135:1288	6689	ok
135:1701	7864	ok
146:1034	7186	ok
128:6564	8842	ok
135:1310	6464	ok
135:1728	2056	ok
128:6599	6915	ok
135:1614	17025	ok
128:6714	6601	ok
135:4566	8456	ok
